	created_at	id	in_reply_to_status_id	in_reply_to_screen_name	source	retweeted	retweet_count	favorite_count	screen_name	hashtags	text
7	Wed Nov 06 06:27:49 +0000 2013	397973575459557376			"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>"	False	1	0			RT @tech2eets: #Google reveals 32GB #Nexus7 to be priced at Rs 25,999, 16GB #Nexus10 at Rs 29,999 http://t.co/s9rWcOW7IQ
8	Wed Nov 06 06:27:19 +0000 2013	397973451975057409			web	False	1	1			#Google reveals 32GB #Nexus7 to be priced at Rs 25,999, 16GB #Nexus10 at Rs 29,999 http://t.co/s9rWcOW7IQ
9	Wed Nov 06 06:04:43 +0000 2013	397967764834770944			"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>"	False	0	0			#Tech #News - After #Nexus5 and #Nexus7 #Google now plans to launch #Nexus10 in #India http://t.co/UEhh3kNbrj http://t.co/nBoYjqPdUI
10	Wed Nov 06 05:31:16 +0000 2013	397959347151835136			"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>"	False	0	0			Nexus 10 )2013) Leather Sleeve | RUM DIARY | http://t.co/QJzla6oon0 | #Nexus10Cover #Nexus10Sleeve #Nexus10Felt #Nexus10_2013 #Nexus10...
11	Wed Nov 06 05:31:00 +0000 2013	397959277857759232			"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>"	False	0	0			Nexus 10 Leather Sleeve/Case | RUM DIARY | http://t.co/QJzla6oon0 | #nexus #nexus10 #nexus7 #sleeve #leather #leathersleeve #organic
12	Wed Nov 06 05:17:33 +0000 2013	397955893029273600			"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>"	False	0	0			Nexus 10 (2013) Leather Sleeve | NELLY http://t.co/Gco0G1qBnv | #Nexus10Cover #Nexus10Sleeve #Nexus10Felt #Nexus10_2013 #Nexus10Portel
13	Wed Nov 06 05:17:32 +0000 2013	397955888830763008			"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>"	False	0	0			Nexus 10 (2013) Leather Sleeve | Spin me... http://t.co/uu0oAVrSc5 | #Nexus10Cover #Nexus10Sleeve #Nexus10Felt #Nexus10_2013 #Nexus10Portel
14	Wed Nov 06 05:17:29 +0000 2013	397955877904588801			"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>"	False	0	0			Nexus 10 Leather Sleeve | SLIDER | http://t.co/Zi1yZP3uab | | #Nexus10Cover #Nexus10Sleeve #Nexus10Portel #Nexus10Leather #Nexus10
15	Wed Nov 06 05:16:18 +0000 2013	397955578934616065			"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>"	False	0	0			Nexus 10 (2013) Leather Sleever | EDUARDO | http://t.co/9dfqEeBqc1 | #Nexus10Cover #Nexus10Sleeve #Nexus10Felt #Nexus10_2013 #Nexus10Portel
16	Wed Nov 06 03:44:05 +0000 2013	397932374278676482			web	False	0	0			The #iPadAir reviews make it the best tab on the market now. But Im sure when the #Nexus10 2014 ships with Kit Kat - it will be beaten
17	Wed Nov 06 03:43:31 +0000 2013	397932227931041792			"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>"	False	0	0			"#Flipkart Listed #Google #Nexus5
 http://t.co/nDUqPUf9H5
#Android #Kitkat #Nexus4 #India #Chennai #diwali #LGIndia #Nexus7 #Nexus10 #Delhi"
18	Wed Nov 06 03:40:07 +0000 2013	397931372628955136			"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>"	False	0	0			3 Rugged Nexus 10 Cases Worth Checking Out http://t.co/Ly0U9au7l0
19	Wed Nov 06 03:19:52 +0000 2013	397926277623349248			"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>"	False	1	0			RT @Pinar_ello: @christian555 @androidandme Will the new #NEXUS10 have memory card slot Christian? Toss up between it and Galaxy Tab 10.1
