	created_at	id	in_reply_to_status_id	in_reply_to_screen_name	source	retweeted	retweet_count	favorite_count	screen_name	hashtags	text
14	Fri Nov 01 09:28:36 +0000 2013	396207132711735296			"<a href=""http://www.metrotwit.com/"" rel=""nofollow"">MetroTwit</a>"	False	1	0			"8.1化したSurface RT/Surface2でUSB有線LANアダプタを利用する(2013年秋) - Neutral Scent
http://t.co/LVR8TvBKC8 #win8jp #surfacejp #surface"
15	Fri Nov 01 09:24:25 +0000 2013	396206082508349440			"<a href=""https://sites.google.com/site/tweentwitterclient/"" rel=""nofollow"">Tween</a>"	False	0	0			少し前の「携帯端末で艦これ勢」の間で「リモートなら動かすのはホスト側だからマシンスペックも切断も気にせず遊べる！」っていうのが喧伝されていたが、携帯回線だとリモートだけで通信量がアレなんで現実的ではないって言う事で結局Wi-Fi環境下で滑らかに動かせるSurface2に話題が…
16	Fri Nov 01 09:08:24 +0000 2013	396202050926567424			"<a href=""http://sinproject.net/tweecha/"" rel=""nofollow"">tweecha for android</a>"	False	0	0			あれー。ノーパソ買いたかったのにSurface2衝動買いしてしまった。
17	Fri Nov 01 09:08:18 +0000 2013	396202025878188032			"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>"	False	0	0			Top 10 der Windows Developer Stories [Oktober] - das hat Sie am meisten interessiert #windows81 #entwickler #surface2 http://t.co/WiPGB2Hgmp
18	Fri Nov 01 09:08:18 +0000 2013	396202025878159360			"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>"	False	0	0			Top 10 der Windows Developer Stories [Oktober] - das hat Sie am meisten interessiert #windows81 #entwickler #surface2 http://t.co/NXVGoJn97g
19	Fri Nov 01 09:08:03 +0000 2013	396201963009761280			web	False	0	0			◆◆新製品が安いケーズデンキ◆◆  【おすすめ情報】 マイクロソフトのタブレットの新モデル「Surface2」「SurfacePro2」発売中 ⇒　http://t.co/wUydJHrfWV  お求めやすくなった前モデルはこちら ⇒　http://t.co/Rs25RRwtle
20	Fri Nov 01 09:07:42 +0000 2013	396201872396017664			web	False	0	0			財布に余裕ができたらSurface2が欲しいけど、使う目的がないんだよね。艦これ始めればいいのかな？＜違う
21	Fri Nov 01 09:02:18 +0000 2013	396200514951462912			web	False	0	0			"日没が早くなってる感。
ヤマダ電機の人は。surface2買うならipad買えよって言ってたけど、よく話を聴くとWIMAXの宣伝だったからお話はなかったことにする。同じ大きさであろう本を並べてみてみてるけど、ipadminiそんなに小さくないんじゃないかと感じてきた。"
22	Fri Nov 01 09:01:43 +0000 2013	396200366683217920			"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>"	False	0	0			#Surface2: Thinking different about my device experience http://t.co/d9q8ELEdzh
23	Fri Nov 01 09:00:01 +0000 2013	396199941925634048	3.96155731151e+17	dazcoull	"<a href=""http://www.WindowsPhone.com/"" rel=""nofollow"">Windows Phone</a>"	False	0	0			@dazcoull douchebags reviewing products again. Surface2 is awesome when compared to the android and iPad competition, tbh it crushes them.
